nds_id	link_name_chn	link_length	road_class	link_type	xy	dir
5127159798864805911	G42沪蓉高速	712	41000	0	LINESTRING(111.855712 30.778960,111.856490 30.779126,111.857815 30.779427,111.860062 30.780001,111.861463 30.780403,111.862793 30.780805,111.862825 30.780816)	0
5127158308511154229	G42沪蓉高速	697	41000	0	LINESTRING(111.748536 30.761654,111.749507 30.761595,111.750687 30.761536,111.751562 30.761515,111.752930 30.761504,111.753150 30.761504,111.754582 30.761531,111.755810 30.761574)	0
5127156852517240839	G42沪蓉高速	1161	41000	0	LINESTRING(111.767923 30.761901,111.767183 30.761944,111.766008 30.761998,111.764179 30.762051,111.762816 30.762051,111.761121 30.762008,111.760215 30.761976,111.759324 30.761923,111.756760 30.761724,111.756663 30.761719,111.755810 30.761670)	2
5127158244086644898	G42沪蓉高速	63	41000	0	LINESTRING(111.627225 30.746790,111.627869 30.746902)	0
5127156839632338958	G42沪蓉高速	127	41000	0	LINESTRING(111.742780 30.762041,111.741450 30.762030)	2
5127158256971546624	G42沪蓉高速	150	41000	0	LINESTRING(111.702590 30.751070,111.704103 30.751441)	0
5127158244086644737	G42沪蓉高速	83	41000	0	LINESTRING(111.630599 30.747605,111.629757 30.747401)	2
5127158055108083725	G42沪蓉高速	517	41000	0	LINESTRING(111.591600 30.741779,111.592276 30.741881,111.593161 30.741994,111.594384 30.742133,111.595554 30.742251,111.596949 30.742428)	0
5127158244086644762	G42沪蓉高速	188	41000	0	LINESTRING(111.629757 30.747401,111.627842 30.746999)	2
5127158265561481221	G42沪蓉高速	100	41000	0	LINESTRING(111.700509 30.750706,111.699484 30.750502)	2
5127159798864806135	G42沪蓉高速	77	41000	0	LINESTRING(111.848019 30.777844,111.847225 30.777742)	2
5127158308511154178	G42沪蓉高速	29	41000	0	LINESTRING(111.736906 30.761681,111.737207 30.761708)	0
5127156839632338999	G42沪蓉高速	341	41000	0	LINESTRING(111.741450 30.762030,111.739846 30.761982,111.737893 30.761858)	2
5127158244086644765	G42沪蓉高速	2717	41000	0	LINESTRING(111.627842 30.746999,111.626539 30.746763,111.625873 30.746661,111.624607 30.746495,111.623567 30.746387,111.622419 30.746285,111.621357 30.746216,111.621094 30.746205,111.619061 30.746146,111.618320 30.746130,111.617505 30.746087,111.615316 30.745942,111.614496 30.745867,111.612597 30.745663,111.611320 30.745486,111.609882 30.745271,111.608498 30.745025,111.606186 30.744542,111.604807 30.744215,111.602560 30.743625,111.601261 30.743319,111.599931 30.743034)	2
5127158248381612040	G42沪蓉高速	143	41000	0	LINESTRING(111.659482 30.749751,111.658634 30.749729,111.657985 30.749719)	2
5127156839632339000	G42沪蓉高速	3095	41000	0	LINESTRING(111.737078 30.761794,111.736284 30.761719,111.735474 30.761633,111.734020 30.761445,111.731611 30.761043,111.730957 30.760919,111.729814 30.760700,111.727320 30.760088,111.725673 30.759637,111.723758 30.759031,111.721457 30.758221,111.720121 30.757685,111.719059 30.757245,111.718077 30.756810,111.716028 30.755839,111.714885 30.755314,111.712986 30.754504,111.710680 30.753602,111.708984 30.753007,111.708641 30.752889,111.707831 30.752626,111.706887 30.752331)	2
